ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
19257,LPPP,4991,1,Seminar,3,Jeffrey Bergner,Mo 12:30PM - 3:00PM,Contact Department,Capstone Seminar,Fixing a Dysfunctionl Congress,Closed,17,17,0
19258,LPPP,4991,2,Seminar,3,Lucy Bassett,We 9:30AM - 12:00PM,Contact Department,Capstone Seminar,Internt'l Dev. Policy Children,Closed,18,17,0
19259,LPPP,4991,3,Seminar,3,Paul Martin,We 12:30PM - 3:00PM,Contact Department,Capstone Seminar,Policy Conflct/Peace in N IRL,Open,0,20,0
19262,LPPP,4991,4,Seminar,3,Balashankar Mulloth,We 3:30PM - 6:00PM,Contact Department,Capstone Seminar,Developing a New Social Ventur,Open,16,17,0
19265,LPPP,4991,5,Seminar,3,Raymond Scheppach,Th 3:30PM - 6:00PM,The Rotunda Room 150,Capstone Seminar,Health Care Reform,Open,13,17,0
21136,LPPP,4993,2,Independent Study,6-Jan,Kirsten Gelsdorf,TBA,TBA,Independent Study,,Closed,1,1,0
19338,LPPP,5540,1,Workshop,2,Brooke Lehmann,Fr 2:00PM - 4:30PM,Monroe Hall 122,Applied Policy Clinics,Advocacy & Lobbying Clinic,Open,9,10,0
19339,LPPP,5540,2,Workshop,2,Galen Fountain,Fr 2:00PM - 4:30PM,Rouss Hall 403,Applied Policy Clinics,Fiscal Policy Clinic,Open,5,10,0
19340,LPPP,5540,3,Workshop,2,Michele Claibourn,Fr 2:00PM - 4:30PM,The Rotunda Room 152,Applied Policy Clinics,Public Interest Data Lab,Wait List,11,10,0
18845,LPPP,6250,1,Lecture,3,Daniel Player,MoWe 12:30PM - 1:45PM,Monroe Hall 122,Policy Analysis,,Open,41,46,0
18846,LPPP,6250,2,Lecture,3,Daniel Player,MoWe 2:00PM - 3:15PM,Monroe Hall 122,Policy Analysis,,Open,40,46,0
19341,LPPP,6500,1,Seminar,1,Daniel Reifsnyder,Mo 7:00PM - 9:30PM,Monroe Hall 122,Topics in Public Policy,Multilaterl Envirnmtl Negotiat,Open,14,30,0
19342,LPPP,6500,2,Seminar,1,Adam Felder,We 7:00PM - 9:30PM,New Cabell Hall 268,Topics in Public Policy,Data Wrangling in Excel,Wait List,25,22,1
19343,LPPP,6500,3,Seminar,1,Matthew Olsen,Fr 2:00PM - 4:30PM,Bryan Hall 328,Topics in Public Policy,"Nat'l Security,Oversight&Press",Open,10,30,0
20535,LPPP,6500,4,Seminar,1,Paul Becker,Mo 7:00PM - 9:30PM,Bryan Hall 332,Topics in Public Policy,Leading Intelligence Policy,Open,8,30,0
19599,LPPP,7559,1,Lecture,3,Todd Sechser,Th 2:00PM - 4:30PM,Ruffner Hall G006,New Course in Public Policy and Leadership,Nuclear Weapons&Foreign Policy,Open,13,25,0
